Name,2023 rank,ICT rank,Skills rank,R&D rank,Industry rank,Finance rank,developing
United States of America,1,11,18,2,16,2,1
Sweden,2,6,2,16,11,18,1
Singapore,3,7,8,17,4,17,0
"Switzerland, Liechtenstein",4,21,13,12,5,5,1
Netherlands (Kingdom of the),5,4,9,15,10,31,1
Korea (Republic of),6,15,26,3,9,7,1
Germany,7,24,17,5,12,40,1
Finland,8,22,5,21,20,30,1
"China, Hong Kong SAR",9,9,23,29,2,1,0
Belgium,10,13,4,23,19,48,1
Canada,11,5,21,9,29,20,1
Australia,12,33,1,11,57,13,1
Norway,13,3,6,27,50,6,1
Ireland,14,26,11,22,1,105,1
France,15,18,24,8,17,21,1
Denmark,16,19,7,24,24,8,1
United Kingdom,17,20,12,6,44,12,1
Luxembourg,18,2,16,38,37,28,1
Japan,19,10,51,7,13,3,1
Israel,20,37,14,19,6,60,1
Spain,21,8,28,14,34,24,1
Iceland,22,1,3,74,80,32,1
New Zealand,23,12,10,42,58,9,1
Austria,24,39,29,25,28,36,1
Italy,25,58,34,10,25,42,1
Malta,26,17,25,64,18,41,1
Poland,27,28,30,30,33,84,1
Slovenia,28,25,15,57,21,92,1
Estonia,29,16,19,63,26,64,1
Czechia,30,47,27,32,15,78,1
Russian Federation,31,43,32,13,54,69,1
Malaysia,32,30,64,28,7,16,0
Portugal,33,35,33,31,49,29,1
Cyprus,34,42,40,39,35,23,1
China,35,117,92,1,8,4,0
Hungary,36,14,43,48,14,99,1
United Arab Emirates,37,29,50,34,32,38,0
Latvia,38,23,22,73,30,102,1
Slovakia,39,27,49,37,27,61,1
Brazil,40,50,55,18,51,57,0
Lithuania,41,31,20,59,46,100,1
Croatia,42,41,37,60,45,70,1
Bulgaria,43,45,52,54,36,81,1
Greece,44,56,31,71,48,44,1
Romania,45,32,69,33,38,122,1
India,46,95,109,4,22,75,0
Saudi Arabia,47,46,44,20,119,77,0
Chile,48,62,46,40,103,19,0
Thailand,49,40,90,46,41,10,0
Serbia,50,51,54,58,43,89,1
Kuwait,51,44,75,70,52,37,0
Barbados,52,34,45,86,73,47,0
Türkiye,53,75,48,26,77,49,0
Philippines,54,94,79,52,3,80,0
Belarus,55,57,35,78,53,103,1
