Name,Total score,2023 rank,2021 rank,Change in rank,Score group,ICT rank,Skills rank,R&D rank,Industry rank,Finance rank,developing
United States of America,1,1,1,0,High,11,18,2,16,2,1
Sweden,0.99,2,4,5,High,6,2,16,11,18,1
Singapore,0.96,3,5,5,High,7,8,17,4,17,0
"Switzerland, Liechtenstein",0.94,4,2,6,High,21,13,12,5,5,1
Netherlands (Kingdom of the),0.94,5,6,5,High,4,9,15,10,31,1
Korea (Republic of),0.94,6,7,5,High,15,26,3,9,7,1
Germany,0.92,7,9,5,High,24,17,5,12,40,1
Finland,0.92,8,17,5,High,22,5,21,20,30,1
"China, Hong Kong SAR",0.91,9,15,5,High,9,23,29,2,1,0
Belgium,0.91,10,11,5,High,13,4,23,19,48,1
Canada,0.9,11,14,5,High,5,21,9,29,20,1
Australia,0.9,12,12,0,High,33,1,11,57,13,1
Norway,0.9,13,19,5,High,3,6,27,50,6,1
Ireland,0.9,14,8,6,High,26,11,22,1,105,1
France,0.89,15,13,6,High,18,24,8,17,21,1
Denmark,0.89,16,10,6,High,19,7,24,24,8,1
United Kingdom,0.89,17,3,6,High,20,12,6,44,12,1
Luxembourg,0.88,18,16,6,High,2,16,38,37,28,1
Japan,0.88,19,18,6,High,10,51,7,13,3,1
Israel,0.88,20,20,0,High,37,14,19,6,60,1
Spain,0.86,21,21,0,High,8,28,14,34,24,1
Iceland,0.84,22,30,5,High,1,3,74,80,32,1
New Zealand,0.83,23,23,0,High,12,10,42,58,9,1
Austria,0.8,24,22,6,High,39,29,25,28,36,1
Italy,0.79,25,24,6,High,58,34,10,25,42,1
Malta,0.78,26,35,5,High,17,25,64,18,41,1
Poland,0.77,27,28,5,High,28,30,30,33,84,1
Slovenia,0.77,28,33,5,High,25,15,57,21,92,1
Estonia,0.77,29,29,0,High,16,19,63,26,64,1
Czechia,0.77,30,26,6,High,47,27,32,15,78,1
Russian Federation,0.76,31,27,6,High,43,32,13,54,69,1
Malaysia,0.76,32,31,6,High,30,64,28,7,16,0
Portugal,0.75,33,32,6,High,35,33,31,49,29,1
Cyprus,0.75,34,34,0,High,42,40,39,35,23,1
China,0.74,35,25,6,High,117,92,1,8,4,0
Hungary,0.74,36,37,5,High,14,43,48,14,99,1
United Arab Emirates,0.74,37,42,5,High,29,50,34,32,38,0
Latvia,0.72,38,40,5,High,23,22,73,30,102,1
Slovakia,0.72,39,36,6,High,27,49,37,27,61,1
Brazil,0.71,40,41,5,High,50,55,18,51,57,0
Lithuania,0.7,41,39,6,Upper middle,31,20,59,46,100,1
Croatia,0.68,42,52,5,Upper middle,41,37,60,45,70,1
Bulgaria,0.67,43,51,5,Upper middle,45,52,54,36,81,1
Greece,0.66,44,38,6,Upper middle,56,31,71,48,44,1
Romania,0.66,45,45,0,Upper middle,32,69,33,38,122,1
India,0.66,46,43,6,Upper middle,95,109,4,22,75,0
Saudi Arabia,0.65,47,50,5,Upper middle,46,44,20,119,77,0
Chile,0.65,48,49,5,Upper middle,62,46,40,103,19,0
Thailand,0.64,49,46,6,Upper middle,40,90,46,41,10,0
Serbia,0.64,50,47,6,Upper middle,51,54,58,43,89,1
Kuwait,0.64,51,58,5,Upper middle,44,75,70,52,37,0
Barbados,0.62,52,48,6,Upper middle,34,45,86,73,47,0
Türkiye,0.62,53,55,5,Upper middle,75,48,26,77,49,0
Philippines,0.62,54,44,6,Upper middle,94,79,52,3,80,0
Belarus,0.61,55,59,5,Upper middle,57,35,78,53,103,1
South Africa,0.61,56,54,6,Upper middle,71,77,36,67,25,0
Costa Rica,0.61,57,61,5,Upper middle,63,53,88,39,67,0
Ukraine,0.59,58,53,6,Upper middle,61,42,49,85,114,1
Montenegro,0.58,59,70,5,Upper middle,49,39,113,81,68,1
Bahrain,0.58,60,56,6,Upper middle,48,58,87,94,50,0
Mexico,0.58,61,57,6,Upper middle,70,73,45,31,96,0
Viet Nam,0.58,62,66,5,Upper middle,69,117,41,23,11,0
Uruguay,0.57,63,68,5,Upper middle,55,47,84,63,116,0
Oman,0.57,64,74,5,Upper middle,52,86,51,91,63,0
Argentina,0.57,65,65,0,Upper middle,74,41,62,75,141,0
Tunisia,0.56,66,60,6,Upper middle,88,61,66,42,45,0
Qatar,0.55,67,72,5,Upper middle,36,115,56,115,15,0
Kazakhstan,0.55,68,62,6,Upper middle,82,36,69,69,124,0
Brunei Darussalam,0.55,69,69,0,Upper middle,54,38,95,97,93,0
Morocco,0.55,70,76,5,Upper middle,73,113,53,55,33,0
Panama,0.54,71,67,6,Upper middle,66,89,102,40,27,0
Colombia,0.54,72,78,5,Upper middle,79,85,55,79,76,0
Mauritius,0.54,73,77,5,Upper middle,96,57,82,74,34,0
North Macedonia,0.53,74,73,6,Upper middle,64,67,94,61,73,1
Iran (Islamic Republic of),0.53,75,71,6,Upper middle,78,74,35,118,62,0
Bosnia and Herzegovina,0.51,76,80,5,Upper middle,60,84,89,78,71,1
Lebanon,0.51,77,63,6,Upper middle,84,76,77,86,26,0
Armenia,0.51,78,83,5,Upper middle,65,63,105,98,54,0
Georgia,0.51,79,79,0,Upper middle,77,56,96,88,46,0
Jordan,0.51,80,64,6,Lower middle,80,101,61,64,43,0
Bahamas,0.5,81,84,5,Lower middle,38,72,116,114,82,0
